Time,Duration
"Mar 11, 2021, 10:38:00 PM",0
"Mar 11, 2021, 10:39:00 PM",0
"Mar 11, 2021, 10:40:00 PM",0
"Mar 11, 2021, 10:41:00 PM",0
"Mar 11, 2021, 11:07:00 PM",16
"Mar 11, 2021, 11:17:00 PM",1
"Mar 11, 2021, 11:25:00 PM",1
"Mar 11, 2021, 11:28:00 PM",22
"Mar 11, 2021, 11:33:00 PM",322
"Mar 11, 2021, 11:38:00 PM",120
"Mar 11, 2021, 11:39:00 PM",0
"Mar 11, 2021, 11:40:00 PM",0
"Mar 11, 2021, 11:48:00 PM",176
"Mar 11, 2021, 11:49:00 PM",0
"Mar 11, 2021, 11:50:00 PM",0
"Mar 11, 2021, 11:51:00 PM",0
"Mar 11, 2021, 11:55:00 PM",67
"Mar 11, 2021, 11:56:00 PM",0
"Mar 11, 2021, 11:59:00 PM",1
